"","NZDUSD_ZARUSD1999out.1.126.","NZDUSD_ZARUSD2000out.1.126.","NZDUSD_ZARUSD2002out.1.126.","NZDUSD_ZARUSD2007out.1.126.","NZDUSD_ZARUSD2009out.1.126.","NZDUSD_ZARUSD2012out.1.126.","meanout99.1.126.","lowout99.1.126.","upout99.1.126.","meanout99_g.1.126.","lowout99_g.1.126.","upout99_g.1.126.","meanout00.1.126.","lowout00.1.126.","upout00.1.126.","meanout00_g.1.126.","lowout00_g.1.126.","upout00_g.1.126.","meanout02.1.126.","lowout02.1.126.","upout02.1.126.","meanout02_g.1.126.","lowout02_g.1.126.","upout02_g.1.126.","meanout07.1.126.","lowout07.1.126.","upout07.1.126.","meanout07_g.1.126.","lowout07_g.1.126.","upout07_g.1.126.","meanout09.1.126.","lowout09.1.126.","upout09.1.126.","meanout09_g.1.126.","lowout09_g.1.126.","upout09_g.1.126.","meanout12.1.126.","lowout12.1.126.","upout12.1.126.","meanout12_g.1.126.","lowout12_g.1.126.","upout12_g.1.126."
"84",-0.0614335811528859,-0.107128824216964,-0.0068488692949269,0.0697123525650973,0.126711443818956,0.0909188388725344,-0.0467160507232462,-0.0835498781906285,-0.00862484059526059,-0.0572875192029649,-0.0767965253497743,-0.0381672248112888,-0.114986162128163,-0.134618617494585,-0.0953537067617413,-0.114986162128163,-0.134618617494585,-0.0953537067617413,-0.00703963477753477,-0.0282901962156586,0.0137299485736243,-0.00720505034708105,-0.0244270603181839,0.0104710123105169,0.0530551671249292,0.0225649358911786,0.0856046599653148,0.0526006622458579,0.0213793967813749,0.0815255166598056,0.122503887064336,0.0955545781787296,0.148281547159591,0.123775079272529,0.107366170833723,0.140871660449402,0.0897403419969877,0.0647841482551209,0.11456754979012,0.0887739753700111,0.0723655985926655,0.105725424000729
"85",-0.0553587620537795,-0.125415121892195,-0.00779809743144133,0.0787567888112961,0.12273128058992,0.0849723933721218,-0.055515586614392,-0.0706222477693966,-0.0399593501935953,-0.0542568368441122,-0.0736634997526108,-0.0343622961853884,-0.115979396391404,-0.134930219270669,-0.0970285735121391,-0.115979396391404,-0.134930219270669,-0.0970285735121391,-0.00697499991387796,-0.0277019438544032,0.0133780946214674,-0.00721130914324562,-0.025061167848827,0.0097615030881522,0.0620481683637686,0.0314250279645326,0.0942416308246839,0.0608108957298912,0.0311936411688422,0.0912822037068502,0.120989768446004,0.0950298669260649,0.146659442579664,0.12149405803945,0.104990207379092,0.137625475105522,0.086141453936608,0.0610689893328322,0.111241035730483,0.084292196898949,0.068391007276496,0.100686324427943
"86",-0.0650892818144814,-0.139139704966722,-0.000207982787270522,0.0724184919308171,0.119504108534705,0.0840029580465063,-0.0636396820554996,-0.0800087364997345,-0.0470957994675918,-0.0614484716209614,-0.0803789619158307,-0.0423870673148329,-0.118185140065244,-0.138286391537705,-0.0980838885927828,-0.118185140065244,-0.138286391537705,-0.0980838885927828,-0.00111662153423308,-0.0218607003173408,0.0195791359661541,-0.00163525870216104,-0.0193253313127703,0.0162047158778452,0.0713268527109148,0.0519726016467368,0.0891079157912056,0.0714240776306126,0.0554941843030112,0.0873767906182142,0.118140316343536,0.0923175620251394,0.143325788753098,0.118307012339754,0.102102133708221,0.134537606959088,0.0844725566428944,0.0588903651397094,0.109731649873966,0.083065688544572,0.0672668438102965,0.0995492121297917
"87",-0.0607078602825358,-0.132812126184401,0.000287688338773018,0.0722261796803654,0.108969671507686,0.082520457017577,-0.0604144452242456,-0.0756757317109558,-0.0456778701539058,-0.0592332998305825,-0.0787195955746295,-0.0392567678384227,-0.119578186362306,-0.139284769543369,-0.0998716031812443,-0.119578186362306,-0.139284769543369,-0.0998716031812443,-0.000216020315558642,-0.0218724420905358,0.0214616463257027,-0.000288807890611552,-0.0178395316207236,0.0172152247829163,0.0707669693093106,0.0520169315712539,0.0895022855611759,0.0705991347543547,0.0543590233725841,0.086857885425841,0.109757608974443,0.0836615109089304,0.135913008205962,0.109049351832082,0.0932539194785963,0.125182874766618,0.0832290478703994,0.0579678025133289,0.108230093207245,0.0812780386895778,0.0654137012801418,0.0976808132338478
"88",-0.0564929695487159,-0.126706401444825,0.00400469134376369,0.0734390980847615,0.109572729558331,0.0858926266993427,-0.0563537470243933,-0.0713586703456098,-0.041190911384315,-0.0556803274051408,-0.0758962747043292,-0.0361300551849691,-0.120257063989213,-0.139124040123767,-0.101390087854659,-0.120257063989213,-0.139124040123767,-0.101390087854659,0.0030809198375268,-0.0181394330864739,0.0239978241736775,0.00281821965119129,-0.0140533736782825,0.0195747808980411,0.0708933584501217,0.0519671403857686,0.0884314133391755,0.0717952808311038,0.0550157705878096,0.0889938048881195,0.108414596343511,0.0834526481879905,0.133437922813757,0.108074797338455,0.0916268745673667,0.124273627646132,0.0854050132371736,0.0598734012364162,0.111072753069,0.0838537263004199,0.0676792201004007,0.0999065748558694
"89",-0.0528826512132679,-0.121447959008857,-0.00824631821804922,0.0690280938592076,0.111095247295948,0.091196659257297,-0.0528828399956669,-0.0681946725761897,-0.0379038943443246,-0.052190284578609,-0.071664822605755,-0.0320949697973174,-0.120370482562512,-0.139078939161707,-0.101662025963317,-0.120370482562512,-0.139078939161707,-0.101662025963317,-0.00574910893744766,-0.0267545854163502,0.0158622551345169,-0.00534856976324936,-0.0219785394034709,0.0120061671058552,0.0681910915604267,0.0491100982055364,0.0873130826585339,0.0680857635472392,0.0518865270479346,0.0840852125174345,0.108469837172065,0.0822309345511177,0.133996070481609,0.109395427656814,0.0930638360786934,0.125197730087906,0.0894060570477977,0.0643466921286338,0.114156161011569,0.0885822094764691,0.0716182707377078,0.104808012137014
"90",-0.0502158252363438,-0.119010256238942,-0.00706963658412829,0.0705822974599173,0.0984833986882094,0.0995772851734049,-0.0501395812999252,-0.0651823377263926,-0.035280000129892,-0.0491418534773212,-0.0688931046786019,-0.029325494151685,-0.120240937198363,-0.138896832692552,-0.101585041704173,-0.120240937198363,-0.138896832692552,-0.101585041704173,-0.006278438164224,-0.0273640481533553,0.0146801489868542,-0.00622290260348691,-0.0234342795962311,0.0111156052276203,0.0684785688713039,0.0497700315829881,0.0868149713023724,0.0684982181711926,0.0523255318831384,0.084673927900347,0.0997313834193076,0.0740418838216107,0.126429739626737,0.0992008178809067,0.0832922569367314,0.115053912105038,0.0967663525563663,0.0710776321576687,0.121945091729629,0.0843953116336412,0.055815756379068,0.112192404195884
"91",-0.0575516124466849,-0.111634426667944,-0.00915286733604925,0.0680262932531595,0.0883192106716721,0.0954829083568867,-0.0561526291774989,-0.0709422132947755,-0.0412137738824739,-0.0545597474116305,-0.0738792047558601,-0.0347367824558223,-0.119421269528799,-0.138419707226754,-0.100422831830844,-0.119421269528799,-0.138419707226754,-0.100422831830844,-0.00813821972101404,-0.0293832561996989,0.0137263059980779,-0.0079864764891051,-0.0252106906295952,0.0088713895238873,0.0669289761251199,0.0490340705448897,0.0849448737473474,0.0668468285419364,0.0509791380098894,0.0825372352322113,0.0901939169675297,0.0649574469537832,0.117147900314128,0.0890306430418533,0.0736380503587589,0.105068270503872,0.0957749891406757,0.0701093546349713,0.121275192713767,0.0942113528737533,0.0775792306280384,0.109990603889206
"92",-0.0585781922580075,-0.107114433091703,-0.000948382623586097,0.0713959175371564,0.0853200491685173,0.0891014550114533,-0.0578628811966267,-0.0724364902232807,-0.0427677686849255,-0.0564780636516959,-0.0754286655301279,-0.0371535990663155,-0.118249189868123,-0.137687590632263,-0.0988107891039838,-0.118249189868123,-0.137687590632263,-0.0988107891039838,-0.00193621527022071,-0.0239494352618988,0.0189375541492102,-0.002187858944487,-0.0191096371622255,0.0149547459935525,0.0690349081592269,0.0501326307079499,0.0874408013009012,0.0694214100111381,0.0532200758701516,0.0853357414350761,0.0856554124164672,0.0596242114574338,0.111438416955479,0.0851199939928975,0.069406064869626,0.100736996044723,0.0909960911659037,0.0667883561533968,0.116376419671161,0.0887392333369638,0.0724129020249616,0.105259315227117
"93",-0.0556408527322306,-0.124976595427891,0.00327901319059154,0.0772958969181277,0.0943779015019106,0.0887432335873033,-0.0554295762198956,-0.070303566898019,-0.0408896330759478,-0.0545695902982832,-0.0744840729169878,-0.0350988753407286,-0.11888989515953,-0.138304938418408,-0.0994748519006514,-0.11888989515953,-0.138304938418408,-0.0994748519006514,0.00199241507277087,-0.019407384947207,0.0237365324686232,0.00208105417983809,-0.0147136754610668,0.0185016887945678,0.0737235277512224,0.0543914123578408,0.0913253475565666,0.0746508058940544,0.0582047468880646,0.0906453069477099,0.0904740227767448,0.064789775816839,0.116228761523336,0.0918749404138087,0.0758899093521529,0.106939395384287,0.0893186215230717,0.0642609140149696,0.114140278317713,0.0875211735846159,0.0711433422523153,0.103648378198989
