"","sp3out","sp9out","sp11out","sp17out","sp31out","sp45out","meanout3","lowout3","upout3","meanout3_g","lowout3_g","upout3_g","meanout9","lowout9","upout9","meanout9_g","lowout9_g","upout9_g","meanout11","lowout11","upout11","meanout11_g","lowout11_g","upout11_g","meanout17","lowout17","upout17","meanout17_g","lowout17_g","upout17_g","meanout31","lowout31","upout31","meanout31_g","lowout31_g","upout31_g","meanout45","lowout45","upout45","meanout45_g","lowout45_g","upout45_g"
"104",-0.106965774396119,-0.00296495432694055,0.224668527748726,0.254509965787899,-0.0862956290333416,0.138623112126592,-0.0102948699778592,-0.031327159667514,0.0111664217676597,-0.0105727505053334,-0.0245881312634739,0.00367061407578213,-0.00024794157565439,-0.0244964221213551,0.0251117839462964,-0.000498407525764778,-0.0221870709011282,0.0216300204914802,0.022563793850656,-0.00528043342198577,0.0507494152118854,0.0227391776693744,0.00817320436122932,0.0379757888531112,0.0249076539778385,0.00601549747277562,0.0437731837549428,0.0239591408451717,0.00437675745918413,0.0434616801848734,-0.00823561682219917,-0.0249625986427813,0.00873576040160357,-0.00832256359646292,-0.025881908843265,0.00980835017947188,0.0127967747579152,-0.00983924383014625,0.035752930852098,0.0130174615822153,-0.00403621926699237,0.0296779903438393
"105",-0.106965774396119,-0.00684235426607227,0.198666289983631,0.254509965787899,-0.0862956290333416,0.138623112126592,-0.0105163332124508,-0.0310833044745833,0.0100974861250021,-0.0104378916697666,-0.0245836273547086,0.0032743246157838,-0.000599620442640809,-0.0236135895732874,0.0233266007471056,-0.000354968282765848,-0.0224002904685152,0.0211733171205767,0.0204463081550885,-0.00873573557223077,0.0485420232604384,0.0199720474273214,0.00563749831060788,0.0355120915526531,0.0252332273867985,0.00677100291914045,0.0435753237304101,0.0239496382397831,0.00454725721661365,0.0429417835315572,-0.0085733385578262,-0.0267397399677047,0.00826124739839352,-0.00831529480090083,-0.0261586622258254,0.0093298680964775,0.0126196581658191,-0.0101750844492963,0.0355881679403966,0.0131791036615904,-0.00362948290086693,0.0303637185758206
"106",-0.106965774396119,-0.00555454979406456,0.167183588691397,0.254509965787899,-0.0862956290333416,0.138623112126592,-0.0104059051891137,-0.0310497755184646,0.0101509132163049,-0.0107030601418497,-0.0248285546760098,0.00359474525178186,-0.000620961144874034,-0.0241832964721042,0.0242749067528968,-0.00034834872394025,-0.0224459135399518,0.0217394836430085,0.017196170563902,-0.0106332382694693,0.044927561956205,0.0171623244137928,0.0024545884858524,0.0324958365248809,0.0250031893164064,0.00602056499326004,0.0438759797815382,0.0237874824653442,0.00489912292145507,0.0426599053731925,-0.00848139261139255,-0.0261082086315215,0.00874523186764446,-0.0086267662536468,-0.0260345143329755,0.00935523577427225,0.0126946698522116,-0.00978394377297442,0.034501613390666,0.0130200202652482,-0.00395993137778118,0.0303612286985346
"107",-0.140995273043902,5.40882456867564e-05,0.167183588691397,0.207310933669169,-0.0855454989078464,0.134909466871247,-0.0130632766160337,-0.0331848327435065,0.00720151240774311,-0.0133146021520935,-0.0278826515238159,0.000710220436739035,-0.000380569604192387,-0.0254200146004356,0.0243461217288029,-2.07839615353108e-05,-0.0218481708731904,0.0215166282345717,0.0158684232537805,-0.0123686873325391,0.0440799467685876,0.0164876559756161,0.00174587914421315,0.0314961121634144,0.0213006970829373,0.00210814994643765,0.041337977304523,0.020179029694083,0.000803528901910179,0.0403860832314135,-0.00858002416652377,-0.0258765541714759,0.00887401063523347,-0.00854620728196007,-0.0263002878378498,0.00923989842499101,0.0124026099520137,-0.00986168013199186,0.0354487137873168,0.0130019288807727,-0.00407867110920645,0.0297019045398376
"108",-0.13371502525855,-0.00629060540998427,0.167183588691397,0.244937558546412,-0.0943550315045938,0.134315245033969,-0.0131764746648114,-0.0337922183697021,0.00841861180021529,-0.0133644452788683,-0.0275327047067328,0.000396656548569163,-0.00110255155546068,-0.0256397416327709,0.0237316715215572,-0.000543389064626296,-0.0226402227025086,0.0221459819517086,0.0159858572902281,-0.0126404611835773,0.0448166097165895,0.0165464016861471,0.00137285105537506,0.0313125327062213,0.0234028281818295,0.00410330097550242,0.041527079369705,0.022447847227878,0.00304513799672569,0.0414754572572356,-0.00916310801794994,-0.0261816520456891,0.00829203629845759,-0.0090636964879622,-0.0262678300498803,0.00895081318565205,0.0121202721458035,-0.010909221727745,0.0353502101966367,0.0125355735777217,-0.00400564381921507,0.0293104867123797
"109",-0.130664463969925,-0.00832620953889585,0.154034272736787,0.214571187722394,-0.0926192319549823,0.141462039057556,-0.0128944457385893,-0.0339390978011408,0.00849948539747327,-0.0130829746295815,-0.0265469944112708,0.001139027293226,-0.000944151614790932,-0.0253730578463054,0.0232878076541236,-0.000964386193504893,-0.0223625885568444,0.0213079120291261,0.0147046979815002,-0.0149094845591031,0.0432531109155282,0.0153350698935235,0.000240362818761373,0.030260244313921,0.0218668376961269,0.00303917607825625,0.0408544825777141,0.0203647802696668,0.00106193030880354,0.0399005721810183,-0.00903907830704183,-0.0254544373537463,0.00769036621819263,-0.00892694203963439,-0.0273605084997918,0.00853483337174506,0.0126883561751334,-0.00961861019329477,0.0353575401604134,0.0132470771130598,-0.003461483447066,0.0297177650095251
"110",-0.153981980451672,-0.00832620953889585,0.15939143996377,0.23147080161563,-0.100863841586896,0.144112200406235,-0.0146753855614881,-0.0359495682547454,0.00637387172667013,-0.0148616015996638,-0.0292059796572613,-0.00056447340951802,-0.000672476781238387,-0.0246028822116539,0.0231800718043789,-0.00097625730814032,-0.0228595215482092,0.0206796772080683,0.0147143230010345,-0.0138747066279049,0.0424565502312036,0.0155866440448927,0.000586318703673049,0.0301054432397948,0.022824134522358,0.00289417779694757,0.0425338905269753,0.0215804843351968,0.00258137367587058,0.0406518508812803,-0.00992341296841867,-0.0262580832330902,0.00720676203426413,-0.00975597374553273,-0.0271323669671639,0.00844808224312314,0.0129968464135919,-0.00947846868458199,0.0360240885793205,0.0135899280050318,-0.00322098037144089,0.0302747814862609
"111",-0.130280849706566,-0.00832620953889585,0.0979788930455783,0.228947709309755,-0.110982613623776,0.146200889427548,-0.0132026795367473,-0.0343107604342514,0.00774163877023855,-0.0131210903418255,-0.0270597119941431,0.000949262277314793,-0.000777360209326413,-0.024934093704075,0.0235723710107386,-0.000835574304914167,-0.0229406521536021,0.0208169896672859,0.0111997220438733,-0.0176698349560514,0.039631364609954,0.0111031770916549,-0.00344381147505421,0.0259384346591156,0.0224516881041376,0.00349007994969042,0.0410300097301721,0.021604650370415,0.00275337326930426,0.0412509390109493,-0.0109710602098685,-0.0279825503507394,0.00631673075275546,-0.0107274535662548,-0.0288322021451532,0.00699066310807872,0.013575820666118,-0.00905909626486007,0.0358538479458262,0.0135802847170369,-0.00320000009266491,0.0305099211108409
"112",-0.130280849706566,0.00428243986681842,0.0777542181284829,0.228947709309755,-0.110982613623776,0.146200889427548,-0.0130931204525692,-0.0338054792918907,0.00731573991680907,-0.012983228868765,-0.0270000153584458,0.00110360293135168,6.94033029863687e-06,-0.0233624672842148,0.0230087446079394,0.000155382256049514,-0.02193697638717,0.0217937599786989,0.00822706840118607,-0.0196657205793145,0.0364574063139216,0.0085457237547052,-0.00629693488468305,0.0231791134139713,0.0224397575135137,0.00370143269378822,0.0409351381138133,0.0215195707392453,0.00261822571932481,0.0405510270114072,-0.010843928615307,-0.0273342491947613,0.00640573595724725,-0.0109299934730718,-0.0293905416273795,0.00788062877203234,0.0130682472912603,-0.0100206514458541,0.0353340392005531,0.0137333891674663,-0.00351064514034696,0.0306567262143087
"113",-0.130280849706566,0.00458171064265933,0.0205425020123151,0.228947709309755,-0.110982613623776,0.146200889427548,-0.0129227080523888,-0.0349471605333293,0.0080735384805149,-0.0129391536493902,-0.0269211631476424,0.00151055797556742,0.00019919491931833,-0.025252358820644,0.0236875037439957,0.000223079226554468,-0.0213679916739736,0.0218217663313089,0.00429118605148591,-0.0238648267150622,0.0317686133284009,0.0035370472435299,-0.0111665653376377,0.018774331532684,0.0223395669854256,0.00342144320639219,0.0419921604251843,0.021527642327504,0.00268989707074003,0.0404652683246348,-0.0109680602552946,-0.0273652893582302,0.00535266830425391,-0.0110788175313843,-0.0293055785951797,0.00673827879034067,0.0136204195725821,-0.00916380099303892,0.0361887120507762,0.0138842352379281,-0.002881547334935,0.0303707574270898
