"","sp2ukout","sp8ukout","sp12ukout","sp16ukout","sp20ukout","meanout2uk","lowout2uk","upout2uk","meanout2uk_g","lowout2uk_g","upout2uk_g","meanout8uk","lowout8uk","upout8uk","meanout8uk_g","lowout8uk_g","upout8uk_g","meanout12uk","lowout12uk","upout12uk","meanout12uk_g","lowout12uk_g","upout12uk_g","meanout16uk","lowout16uk","upout16uk","meanout16uk_g","lowout16uk_g","upout16uk_g","meanout20uk","lowout20uk","upout20uk","meanout20uk_g","lowout20uk_g","upout20uk_g"
"54",0.129137193966273,-0.071313043781891,-0.00391025526760735,0.139977490849454,0.0758244524930696,0.126923841350091,0.103482442284871,0.147695352002745,0.126900698654842,0.106902703390231,0.147224046741614,-0.0695506078361186,-0.0921099933013345,-0.0460243229887894,-0.0706807679676996,-0.0877764751636657,-0.054135036156541,-0.0034712946023003,-0.0261322089721546,0.0188352894600161,-0.0035138319227182,-0.0344673897501745,0.0269689926371783,0.140606646925298,0.120532358592762,0.161552281266976,0.140416833667759,0.121162160846049,0.159625808610963,0.0753421247368431,0.0522631180040262,0.098644500673835,0.0748585895331329,0.0607777465345745,0.0890559093570885
"55",0.129137193966273,-0.0839479801671228,-0.00391025526760735,0.139977490849454,0.0916966166446631,0.128038559096364,0.106928127790373,0.148374936526621,0.128213430289102,0.107464018027548,0.148061622803779,-0.0645215757187523,-0.10973679464208,-0.0202370998540342,-0.081687454952773,-0.0972379191985589,-0.0647268364954306,-0.00396960560933089,-0.0258234588704342,0.0173827938934259,-0.00410733725136556,-0.0344215785914904,0.0266312439445096,0.139493017082125,0.118605049849743,0.160135000235527,0.139554116341676,0.119741005338775,0.158756567435916,0.0885651950433085,0.0649119784213775,0.112272033443649,0.0728949855099919,0.0472247559675747,0.0988986248207284
"56",0.129137193966273,-0.0974373938533812,0.00862617218976069,0.139977490849454,0.0916966166446631,0.128023570717555,0.105418552339138,0.148301761806368,0.128164266058507,0.108251321521106,0.148576497519255,-0.0758759887516069,-0.118880905461088,-0.0301547670604037,-0.0814100620134937,-0.1149972103243,-0.0477190338866803,0.00717806091543647,-0.0164486950177897,0.0291575440955871,0.00681718158931149,-0.022980748922882,0.037084064803954,0.139304822516609,0.118819811873577,0.159727628629392,0.139340664130546,0.120270926236879,0.158025879143496,0.0909728219929967,0.0686630861263006,0.113992608327862,0.0902015534028938,0.075778165366953,0.104501886604228
"57",0.121015287110038,-0.102416516031321,0.0219540284918995,0.126267131125433,0.0916966166446631,0.12151203046178,0.101552767706095,0.143211009897735,0.121339549028294,0.101870614851711,0.14111036322689,-0.0995559709083185,-0.122718006686995,-0.0752988058563587,-0.101009648879317,-0.116495962313183,-0.0845968750255327,0.0201242119765881,-0.00318927949772871,0.0414533731927241,0.019798705108437,-0.0120578683788494,0.0509689253859875,0.128357629940786,0.109108886372502,0.148763540911653,0.1282699284429,0.110000557582133,0.147468783818951,0.0915291309534708,0.0689614787985729,0.11341784360543,0.0904681269006968,0.075897063926414,0.104415852078522
"58",0.160164828148508,-0.0636340224153376,0.0385943370655806,0.149450902249635,0.0534038279561289,0.122202799819561,0.0765165396416478,0.168919993846883,0.120443034961063,0.0792964020406461,0.158402434950172,-0.0863297899459493,-0.130275755680771,-0.0409581147445403,-0.0945249558519158,-0.129420366619845,-0.0591885807947474,0.0224957667178521,-0.0346187528407064,0.0814058439401488,0.0359013475576367,0.00463298316183295,0.0662849529000928,0.128456115342669,0.0935038958956587,0.163686476033669,0.129398689292863,0.100143964798346,0.159257484012945,0.0854706363937261,0.0398240945185975,0.130590470020923,0.0812654626883165,0.0528838364096061,0.10789692011584
"59",0.144713569611867,-0.0846277606981216,0.0860537770691483,0.156196471725347,0.059853617801422,0.145136723242108,0.123589071548175,0.165881859469609,0.145012155952244,0.124620921572438,0.165241972905148,-0.0663680231649304,-0.113087573397268,-0.0216398003291376,-0.0677213322166442,-0.101091439441334,-0.0340242828732596,0.0394668747294897,-0.026549066585486,0.0958127716335944,0.0394777976115511,-0.0230993056988584,0.103794175521306,0.153081262529645,0.131336312369176,0.173982042845261,0.153237011987667,0.134154754148032,0.172384075086508,0.0599267589111448,0.0381149497102065,0.0821646770058498,0.0590869994296371,0.0449459424322963,0.0735105218461807
"60",0.136452364029935,-0.0846277606981216,0.10526448016619,0.167979175585162,0.0705635213701372,0.137254976241412,0.116129402934435,0.157961805763894,0.137008187298012,0.116736755114862,0.157197520708957,-0.0828102024551995,-0.106247649206614,-0.0571958925804994,-0.0838160058980981,-0.100526350552236,-0.0666456595972836,0.0844994208770861,0.0258262333753319,0.149335794364479,0.102053509106025,0.0721131858391418,0.133147710193168,0.164070592263967,0.142541614502475,0.184886050288463,0.164310463429458,0.144672298617829,0.182603852051267,0.0682551413703281,0.0452160508840627,0.0902204866899822,0.0569057494085519,0.0302470644318555,0.0835528103069997
"61",0.114443370419823,-0.0846277606981216,0.10526448016619,0.173502542242541,0.0959486645934637,0.129816846959885,0.0878950969881779,0.171627089711397,0.117219053657484,0.0974593334400954,0.137041448297718,-0.0828702800287495,-0.106661989809835,-0.0597119951178128,-0.0840567356320239,-0.100482381221408,-0.0672601621877901,0.104847949244493,0.0840866062156769,0.12664138052996,0.104465306396681,0.0748809478508771,0.13480622692802,0.170458746441604,0.149014599963125,0.191357325903579,0.170898521973176,0.151904035765086,0.189100299174362,0.0712892601187936,0.0298861868123317,0.11034595564814,0.0677367444267232,0.042214087708675,0.0986426719319143
"62",0.114443370419823,-0.0763166224976697,0.10526448016619,0.173502542242541,0.0992266597228442,0.114129477683806,0.0929382938826385,0.134936213613409,0.114213152793803,0.0943273302275815,0.133987845188647,-0.076504060949856,-0.098941439828432,-0.0532066593641708,-0.0769591317126196,-0.0929017826186837,-0.0608174595913753,0.105274435840013,0.0838771367698726,0.125862340892951,0.104490291267005,0.0743054675473262,0.134142412231175,0.171848095847476,0.151284836714538,0.19169668207525,0.172538344549536,0.153273178454661,0.191886219383925,0.0976654214169805,0.0744808705402647,0.119282944465966,0.0968198968534846,0.080318678687627,0.111566315172552
"63",0.114443370419823,-0.0774423866559815,0.0871951112482705,0.173502542242541,0.0992266597228442,0.113856362269542,0.0915415529336623,0.13517290736894,0.113651625145819,0.0941684329221329,0.134134962435995,-0.0761805384102827,-0.0990756652777316,-0.0526155592364458,-0.0769089514647991,-0.0933998572928603,-0.0602770311997305,0.102285363065981,0.0480263295352892,0.158183617214414,0.0884214955673478,0.0589655116501078,0.120074524423974,0.172476833576793,0.152551104696366,0.191559050415356,0.172316179936922,0.153964741253385,0.190667156392234,0.0989503770858061,0.0762916868011299,0.120925648637654,0.0980579012079515,0.0826847589412666,0.113610175805368
